Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,2.012500,2.075000,2.012500,2.056250,0.791090,70000800
2011-05-03,2.062500,2.086250,2.025000,2.037500,0.783877,8417600
2011-05-04,2.040000,2.060000,2.040000,2.060000,0.792533,9800800
2011-05-05,2.051250,2.051250,2.040000,2.047500,0.787724,8774400
2011-05-06,2.043750,2.047500,2.000000,2.032500,0.781953,9668000
2011-05-09,2.026250,2.031250,2.005000,2.012500,0.774259,166920
2011-05-10,null,null,null,null,null,null
2011-05-11,2.031250,2.062500,2.031250,2.050000,0.788686,1560000
2011-05-12,2.027500,2.052500,2.025000,2.052500,0.789648,1840000
2011-05-13,2.050000,2.050000,2.030000,2.043750,0.786281,1761600
2011-05-16,null,null,null,null,null,null
2011-05-17,2.012500,2.018750,2.002500,2.012500,0.774259,1383200
2011-05-18,2.006250,2.016250,1.971250,1.975000,0.759831,5565600
2011-05-19,1.975000,1.997500,1.970000,1.978750,0.761274,3540800
2011-05-20,1.976250,1.998750,1.938750,1.992500,0.766564,2629600
2011-05-23,1.970000,1.985000,1.943750,1.985000,0.763679,2188000
2011-05-24,1.993750,2.000000,1.938750,1.958750,0.753580,8384800
2011-05-25,1.956250,1.956250,1.898750,1.900000,0.730977,4642400
2011-05-26,1.897500,1.968750,1.897500,1.966250,0.756465,2953600
2011-05-27,1.948750,1.987500,1.940000,1.975000,0.759831,4157600
2011-05-30,1.950000,1.997500,1.950000,1.993750,0.767045,1165600
2011-05-31,2.000000,2.000000,1.956250,2.000000,0.769450,8995200
2011-06-01,1.983750,2.033750,1.972500,2.025000,0.779068,3515200
2011-06-02,2.000000,2.062500,2.000000,2.050000,0.788686,3466400
2011-06-03,2.025000,2.087500,2.025000,2.087500,0.803113,3242400
2011-06-06,2.071250,2.102500,2.057500,2.087500,0.803113,2610400
2011-06-07,2.075000,2.096250,2.052500,2.086250,0.802632,4740000
2011-06-08,2.083750,2.085000,2.053750,2.072500,0.797342,2618400
2011-06-09,2.063750,2.158750,2.062500,2.137500,0.822349,9032000
2011-06-10,2.118750,2.143750,2.077500,2.143750,0.824754,3711200
2011-06-13,2.143750,2.220000,2.137500,2.162500,0.831967,6592000
2011-06-14,2.175000,2.193750,2.083750,2.140000,0.823311,4934400
2011-06-15,2.137500,2.137500,2.090000,2.111250,0.812250,3844800
2011-06-16,2.062500,2.108750,1.998750,2.100000,0.807922,4799200
2011-06-17,2.087500,2.092500,2.006250,2.062500,0.793495,1897600
2011-06-20,2.041250,2.050000,2.003750,2.025000,0.779068,1918400
2011-06-21,2.012500,2.085000,2.011250,2.075000,0.798304,1490400
2011-06-22,2.045000,2.085000,2.030000,2.031250,0.781472,2606400
2011-06-24,2.047500,2.078750,2.013750,2.025000,0.779068,1504000
2011-06-27,2.058750,2.058750,1.977500,2.000000,0.769450,2351200
2011-06-28,2.001250,2.030000,1.991250,2.030000,0.780991,2516800
2011-06-29,2.025000,2.052500,2.010000,2.052500,0.789648,2362400
2011-06-30,2.032500,2.046250,2.000000,2.031250,0.781472,4256800
2011-07-01,2.036250,2.037500,1.987500,2.025000,0.779068,4833600
2011-07-04,2.017500,2.050000,2.002500,2.050000,0.788686,2015200
2011-07-05,2.062500,2.108750,2.056250,2.096250,0.806479,10213600
2011-07-06,2.095000,2.097500,2.075000,2.087500,0.803113,3848000
2011-07-07,2.092500,2.112500,2.050000,2.050000,0.788686,2742400
2011-07-08,2.048750,2.050000,2.001250,2.037500,0.783877,4269600
2011-07-11,2.012500,2.035000,1.938750,1.943750,0.747809,4514400
2011-07-12,1.945000,2.000000,1.906250,1.993750,0.767045,3434400
2011-07-13,1.996250,1.997500,1.918750,1.968750,0.757427,3833600
2011-07-14,1.943750,1.962500,1.875000,1.875000,0.721359,3104800
2011-07-15,1.888750,1.895000,1.792500,1.812500,0.697314,3096000
2011-07-18,1.821250,1.822500,1.731250,1.733750,0.667017,3294400
2011-07-19,1.748750,1.860000,1.736250,1.850000,0.711741,4928000
2011-07-20,1.861250,1.878750,1.788750,1.788750,0.688176,2344000
2011-07-21,1.811250,1.818750,1.761250,1.792500,0.689619,2219200
2011-07-22,1.795000,1.862500,1.788750,1.862500,0.716550,3148800
2011-07-25,1.793750,1.912500,1.793750,1.816250,0.698756,27376
2011-07-26,1.843750,1.930000,1.825000,1.930000,0.742519,3090400
2011-07-27,1.912500,1.912500,1.820000,1.867500,0.718473,2778400
2011-07-28,1.872500,1.875000,1.768750,1.768750,0.680482,5564800
2011-07-29,1.781250,1.781250,1.705000,1.718750,0.661246,15672
2011-08-01,1.750000,1.781250,1.685000,1.748750,0.672787,2098400
2011-08-02,1.748750,1.767500,1.717500,1.747500,0.672306,2347200
2011-08-03,1.731250,1.755000,1.585000,1.681250,0.646819,4224000
2011-08-04,1.625000,1.625000,1.528750,1.537500,0.591514,3557600
2011-08-05,1.500000,1.568750,1.388750,1.480000,0.569393,5480000
2011-08-08,1.325000,1.415000,1.325000,1.375000,0.528996,3220000
2011-08-09,1.378750,1.428750,1.303750,1.400000,0.538615,7212000
2011-08-10,1.368750,1.406250,1.336250,1.406250,0.541019,6815200
2011-08-11,1.405000,1.561250,1.388750,1.561250,0.600652,4020800
2011-08-12,1.560000,1.655000,1.511250,1.648750,0.634315,3827200
2011-08-15,1.613750,1.686250,1.613750,1.672500,0.643452,1964800
2011-08-16,1.631250,1.662500,1.566250,1.642500,0.631910,2102400
2011-08-17,1.642500,1.672500,1.626250,1.652500,0.635758,2388800
2011-08-18,1.623750,1.658750,1.507500,1.658750,0.638162,2326400
2011-08-19,1.616250,1.651250,1.586250,1.605000,0.617483,4208000
2011-08-22,1.607500,1.642500,1.571250,1.597500,0.614598,1883200
2011-08-23,1.588750,1.607500,1.571250,1.590000,0.611712,2248800
2011-08-24,1.597500,1.597500,1.541250,1.562500,0.601132,2359200
2011-08-25,1.583750,1.621250,1.508750,1.537500,0.591514,1754400
2011-08-26,1.512500,1.542500,1.475000,1.487500,0.572278,3184800
2011-08-29,1.495000,1.521250,1.487500,1.518750,0.584301,5568000
2011-08-30,1.501250,1.562500,1.500000,1.543750,0.593919,4082400
2011-08-31,1.556250,1.612500,1.556250,1.606250,0.617964,7825600
2011-09-01,1.718750,1.750000,1.663750,1.746250,0.671826,11795200
2011-09-02,1.726250,1.798750,1.675000,1.775000,0.682886,8413600
2011-09-05,1.775000,1.775000,1.700000,1.767500,0.680001,4331200
2011-09-06,1.733750,1.836250,1.703750,1.836250,0.706451,4868800
2011-09-08,1.827500,1.897500,1.792500,1.823750,0.701642,5309600
