Date,Open,High,Low,Close,Adj Close,Volume
2000-12-21,2.815510,2.988540,2.815170,2.960550,2.159350,74224
2000-12-22,2.930750,2.930750,2.814840,2.832230,2.065757,23336
2000-12-25,null,null,null,null,null,null
2000-12-26,2.816660,2.834710,2.790010,2.831400,2.065152,7839
2000-12-27,2.881070,2.927440,2.831400,2.927440,2.135202,27008
2000-12-28,2.910880,3.129440,2.864350,3.063210,2.234228,77449
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,2.906080,2.980260,2.905910,2.963860,2.161765,47010787
2001-01-03,2.963860,3.146000,2.947310,3.079940,2.246431,67061636
2001-01-04,3.096160,3.146000,3.096160,3.129440,2.282535,82788267
2001-01-05,3.046650,3.228790,3.046650,3.145840,2.294497,81568305
2001-01-08,3.112890,3.146000,3.079770,3.079770,2.246307,32069280
2001-01-09,3.112890,3.179120,3.079770,3.093020,2.255972,121066063
2001-01-10,3.094670,3.129440,3.079600,3.121160,2.276496,110207199
2001-01-11,3.144180,3.146000,3.063210,3.129440,2.282535,61589929
2001-01-12,3.129440,3.129440,3.046650,3.080100,2.246549,49788917
2001-01-15,3.046650,3.112890,3.046650,3.112890,2.270465,7959946
2001-01-16,3.112890,3.146000,3.096330,3.129440,2.282535,26138577
2001-01-17,3.129440,3.179120,3.104610,3.154280,2.300653,52977726
2001-01-18,3.154280,3.261910,3.154280,3.261910,2.379156,141660460
2001-01-19,3.261740,3.377810,3.245350,3.328140,2.427463,112526334
2001-01-22,3.328140,3.328140,3.190710,3.212230,2.342920,39666861
2001-01-23,3.212230,3.245350,3.182590,3.182590,2.321301,95181141
2001-01-24,3.228790,3.228790,3.094510,3.094510,2.257059,72183058
2001-01-25,null,null,null,null,null,null
2001-01-26,3.096330,3.212230,3.096160,3.179120,2.318770,105025383
2001-01-29,3.195680,3.195680,3.121160,3.129440,2.282535,78053367
2001-01-30,3.162560,3.162560,3.079770,3.079770,2.246307,150043164
2001-01-31,3.096330,3.104610,3.046650,3.088050,2.252347,106813049
2001-02-01,3.124480,3.124480,3.013700,3.030100,2.210080,58763484
2001-02-02,3.030100,3.046650,2.988700,3.046650,2.222151,33832789
2001-02-05,3.030100,3.030100,2.963860,2.972140,2.167806,11958037
2001-02-06,2.996980,3.005260,2.980420,3.005260,2.191961,36043214
2001-02-07,2.996810,2.996810,2.930750,2.947310,2.149693,61444983
2001-02-08,2.978770,3.071490,2.978770,3.029760,2.209832,54137294
2001-02-09,3.046650,3.046650,2.980420,2.980420,2.173843,36622997
2001-02-12,2.980750,2.997810,2.980420,2.988700,2.179883,37589303
2001-02-13,3.013540,3.030100,3.013540,3.030100,2.210080,127214185
2001-02-14,3.013540,3.112890,2.980420,3.071490,2.240269,92101041
2001-02-15,3.079770,3.096330,3.071490,3.071490,2.240269,34472967
2001-02-16,3.079770,3.079770,2.879420,2.915020,2.126141,60526992
2001-02-19,2.980420,2.980420,2.897630,2.897630,2.113459,45694195
2001-02-20,2.906080,2.939030,2.765170,2.847960,2.077230,67593105
2001-02-21,2.897630,2.947310,2.798120,2.815170,2.053315,107042547
2001-02-22,2.831400,2.889350,2.831400,2.889350,2.107419,137130900
2001-02-23,2.897470,3.063210,2.881070,2.947470,2.149810,130982778
2001-02-26,null,null,null,null,null,null
2001-02-27,null,null,null,null,null,null
2001-02-28,2.939030,2.939030,2.816500,2.823120,2.059112,77401111
2001-03-01,2.847960,2.947310,2.839680,2.906080,2.119622,108914765
2001-03-02,2.947310,2.996980,2.881070,2.996810,2.185798,140392183
2001-03-05,2.980420,3.030100,2.930750,2.963860,2.161765,85216110
2001-03-06,2.980420,3.083080,2.963860,3.013540,2.198001,72557502
2001-03-07,3.025960,3.063210,3.005260,3.038380,2.216118,70214210
2001-03-08,3.046650,3.096330,2.996980,3.046650,2.222151,87269511
2001-03-09,2.980420,2.997150,2.972140,2.980420,2.173843,84092780
2001-03-12,2.844650,2.997150,2.844650,2.844650,2.074816,42312124
2001-03-13,2.798290,2.897630,2.773450,2.798290,2.041003,42565779
2001-03-14,2.798290,2.897630,2.773450,2.798290,2.041003,42565779
2001-03-15,2.665160,2.781890,2.664170,2.665160,1.943901,185929353
2001-03-16,2.674100,2.715500,2.649100,2.649100,1.932186,140078134
2001-03-19,2.657540,2.674100,2.549920,2.616150,1.908154,174031711
2001-03-20,2.650920,2.781730,2.649430,2.732050,1.992689,147699872
2001-03-21,2.798290,2.814840,2.732050,2.781730,2.028925,95446875
2001-03-22,2.632710,2.732050,2.583030,2.632710,1.920233,187149315
2001-03-23,2.748610,2.748610,2.632710,2.748610,2.004767,64223113
2001-03-26,2.856240,2.864520,2.814680,2.856240,2.083270,54862023
2001-03-27,2.864520,2.897630,2.852930,2.881070,2.101380,54354713
2001-03-28,2.847960,2.881240,2.839680,2.847960,2.077230,58533986
2001-03-29,2.930750,2.947310,2.823120,2.839680,2.071193,45259357
2001-03-30,2.781890,2.839680,2.707050,2.781890,2.029040,67556868
2001-04-02,2.642810,2.778750,2.641320,2.642810,1.927598,45440540
2001-04-03,2.583030,2.649260,2.516800,2.583030,1.883998,93405554
2001-04-04,2.723610,2.723770,2.616150,2.723610,1.986533,104433521
2001-04-05,2.865510,2.865510,2.723770,2.865510,2.090031,47904620
2001-04-06,2.740330,2.864520,2.740330,2.740330,1.998728,94009495
2001-04-09,2.698940,2.790010,2.649260,2.698940,1.968542,49813074
2001-04-10,2.806560,2.889350,2.732050,2.806560,2.047035,43399218
2001-04-11,2.798620,2.831400,2.781730,2.798620,2.041244,40427827
2001-04-12,2.897630,2.909220,2.798290,2.897630,2.113459,54910338
2001-04-13,null,null,null,null,null,null
2001-04-16,2.831400,2.879250,2.814840,2.831400,2.065152,11088361
2001-04-17,2.782560,2.847960,2.765170,2.782560,2.029529,20195795
2001-04-18,2.818150,2.881070,2.781560,2.818150,2.055488,137324161
2001-04-19,2.732050,2.814840,2.732050,2.732050,1.992689,120752014
2001-04-20,2.583030,2.781400,2.516800,2.583030,1.883998,318953453
2001-04-23,2.624760,2.624760,2.541640,2.583360,1.884239,124460213
2001-04-24,2.607870,2.674100,2.566470,2.665820,1.944383,126972608
2001-04-25,2.599590,2.649260,2.599590,2.640990,1.926271,42879829
2001-04-26,2.723610,2.756890,2.698940,2.732050,1.992689,160660451
2001-04-27,2.734700,2.914190,2.734700,2.881070,2.101380,183682692
2001-04-30,2.908730,2.947310,2.908730,2.930750,2.137617,68257440
2001-05-01,null,null,null,null,null,null
2001-05-02,null,null,null,null,null,null
